rented,availability,a,city,community,latitude,longitude,link,type,price,beds,sq_feet,baths,cats,dogs,sq_feet2,price2,beds2,baths2,utility_heat,utility_electricity,utility_water,utility_cable,utility_internet
Not-Rented,Immediate,2000-01-01,Calgary,Sunalta,51.0425776,-114.0981261,/ab/calgary/rentals/apartment/1-bedroom/sunalta/pet-friendly/479391,Apartment,950,1,,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.0401167,-114.0907216,/ab/calgary/rentals/apartment/1-bedroom/beltline/471622,Apartment,925,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Crescent Heights,51.064555,-114.064615,/ab/calgary/rentals/apartment/studio/crescent-heights/3898,Apartment,895,studio,Approx 345,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Manchester,51.0028735,-114.0688282,/ab/calgary/rentals/apartment/1-bedroom/manchester/469188,Apartment,750,1,,1,0,0,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Crescent Heights,51.0563432,-114.0578657,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/pet-friendly/151201,Apartment,895,1,Large one bedroom,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Braeside,50.962467,-114.1097039,/ab/calgary/rentals/apartment/1-bedroom/braeside/pet-friendly/481050,Apartment,974,1,616,1,2,2,824,999,2,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,East Village,51.0454353,-114.0503492,/ab/calgary/rentals/apartment/1-bedroom/east-village/pet-friendly/468548,Apartment,950,1,,1,2,0,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Banff Trail,51.0674518,-114.1156797,/ab/calgary/rentals/apartment/2-bedrooms/banff-trail/pet-friendly/454707,Apartment,940,studio,,1,2,2,,,0,0,1,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.0358214,-114.0759369,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/467746,Apartment,950,1,850,1,0,0,,,0,0,1,0,1,0,1
Not-Rented,Immediate,2000-01-01,Calgary,Connaught,51.0401167,-114.0907216,/ab/calgary/rentals/apartment/1-bedroom/connaught/441923,Apartment,925,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,East Village,51.0454353,-114.0503492,/ab/calgary/rentals/apartment/1-bedroom/east-village/pet-friendly/441689,Apartment,950,1,,1,2,0,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mission,51.0369918,-114.0752319,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/466381,Apartment,875,studio,350,1,2,2,,925,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Crescent Heights,51.0640666,-114.0573792,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/pet-friendly/2542,Apartment,999,1,520,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bridgeland,51.0542397,-114.0509469,/ab/calgary/rentals/apartment/1-bedroom/bridgeland/pet-friendly/473398,Apartment,999,1,497,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Downtown,51.049105,-114.0805519,/ab/calgary/rentals/apartment/1-bedroom/downtown/340058,Apartment,985,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Sunalta,51.0389372,-114.0985889,/ab/calgary/rentals/apartment/1-bedroom/sunalta/pet-friendly/413819,Apartment,999,1,550,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Dover,51.0278599,-113.968347,/ab/calgary/rentals/apartment/1-bedroom/dover/pet-friendly/2247,Apartment,999,1,550,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Haysboro,50.977276,-114.076662,/ab/calgary/rentals/apartment/1-bedroom/haysboro/pet-friendly/75289,Apartment,950,studio,374,1,2,2,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Downtown,51.0520442,-114.0768623,/ab/calgary/rentals/apartment/1-bedroom/downtown/436606,Apartment,850,1,525,1,0,0,,875,0,0,0,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Triwood,51.0875663,-114.1101186,/ab/calgary/rentals/apartment/1-bedroom/triwood/pet-friendly/359909,Apartment,845,studio,0,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Connaught,51.0463834,-114.0874283,/ab/calgary/rentals/apartment/1-bedroom/connaught/pet-friendly/2244,Apartment,1000,studio,400,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.0390969,-114.0731192,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/75288,Apartment,925,studio,250,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bankview,51.030137,-114.101078,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/51406,Apartment,950,studio,420,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Altadore,51.01635,-114.0985,/ab/calgary/rentals/apartment/1-bedroom/altadore/117563,Apartment,975,1,600,1,0,0,,,0,0,1,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.0362699,-114.082297,/ab/calgary/rentals/apartment/studio/lower-mount-royal/pet-friendly/355718,Apartment,950,studio,313,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mission,51.037644,-114.0703651,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/2243,Apartment,865,studio,350,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bridgeland,51.0565375,-114.0492047,/ab/calgary/rentals/apartment/1-bedroom/bridgeland/pet-friendly/355717,Apartment,975,studio,501,1,2,2,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bankview,51.0306332,-114.1038036,/ab/calgary/rentals/apartment/studio/bankview/pet-friendly/355713,Apartment,899,studio,397,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.037026,-114.0881389,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/455899,Apartment,925,studio,,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bankview,51.0325951,-114.0980284,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/3474,Apartment,999,1,497,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.0399846,-114.0693749,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/99283,Apartment,975,studio,400,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Scarboro,51.0375374,-114.1020294,/ab/calgary/rentals/apartment/1-bedroom/scarboro/pet-friendly/299144,Apartment,925,studio,335,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Brentwood,51.0897585,-114.1309789,/ab/calgary/rentals/apartment/1-bedroom/brentwood/420759,Apartment,900,1,700,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Huntington Hills,51.1147884,-114.0682795,/ab/calgary/rentals/apartment/1-bedroom/huntington-hills/pet-friendly/99281,Apartment,925,studio,388,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mission,51.0359727,-114.0701952,/ab/calgary/rentals/apartment/1-bedroom/mission/375532,Apartment,950,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Renfrew,51.0595404,-114.0510065,/ab/calgary/rentals/apartment/1-bedroom/renfrew/pet-friendly/466383,Apartment,700,studio,299,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,South Calgary,51.0302907,-114.0989466,/ab/calgary/rentals/apartment/1-bedroom/south-calgary/pet-friendly/2592,Apartment,899,studio,450,1,2,2,464,950,1,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.0348835,-114.0802295,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/314015,Apartment,899,studio,450,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mission,51.0345392,-114.0692334,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/473402,Apartment,999,1,454,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Hillhurst,51.0569041,-114.0904234,/ab/calgary/rentals/apartment/1-bedroom/hillhurst/138783,Apartment,875,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Greenview,51.0966163,-114.0580176,/ab/calgary/rentals/apartment/1-bedroom/greenview/113896,Apartment,1000,1,720,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Woodlands,50.9407587,-114.1038826,/ab/calgary/rentals/apartment/1-bedroom/woodlands/pet-friendly/481052,Apartment,999,1,635,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Lynnwood,50.9958818,-114.0219993,/ab/calgary/rentals/apartment/1-bedroom/lynnwood/477772,Apartment,990,1,,1,0,0,,,0,0,0,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bridgeland,51.0521742,-114.0489798,/ab/calgary/rentals/apartment/studio/bridgeland/pet-friendly/393082,Apartment,926,studio,429,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,South Calgary,51.0229792,-114.1017405,/ab/calgary/rentals/apartment/1-bedroom/south-calgary/pet-friendly/322884,Apartment,900,1,,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Sunalta,51.038298,-114.0982478,/ab/calgary/rentals/apartment/1-bedroom/sunalta/483314,Apartment,800,1,470,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Sunalta,51.0437267,-114.1057707,/ab/calgary/rentals/apartment/1-bedroom/sunalta/51688,Apartment,895,1,550,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Shaganappi,51.0382491,-114.1240734,/ab/calgary/rentals/apartment/1-bedroom/shaganappi/470000,Apartment,895,1,500,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.0361453,-114.0861162,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/299455,Apartment,900,1,633,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Windsor Park,51.0026511,-114.074333,/ab/calgary/rentals/apartment/1-bedroom/windsor-park/pet-friendly/462353,Apartment,995,1,615,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Forest Lawn,51.0367038,-113.9746726,/ab/calgary/rentals/apartment/1-bedroom/forest-lawn/483403,Apartment,875,1,650,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mount Royal,51.0372583,-114.0866808,/ab/calgary/rentals/apartment/1-bedroom/mount-royal/307145,Apartment,895,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Killarney,51.0296161,-114.1351447,/ab/calgary/rentals/apartment/1-bedroom/killarney/pet-friendly/29306,Apartment,850,1,700+,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Tuxedo Park,51.0762898,-114.0640751,/ab/calgary/rentals/apartment/1-bedroom/tuxedo-park/419812,Apartment,995,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.0413127,-114.0848539,/ab/calgary/rentals/apartment/studio/beltline/22940,Apartment,925,studio,+/-500,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Crescent Heights,51.0635435,-114.0601315,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/50304,Apartment,1000,1,580,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bowness,51.0904906,-114.1955841,/ab/calgary/rentals/apartment/1-bedroom/bowness/1232,Apartment,960,1,750,1,0,0,,,0,0,1,0,1,0,1
Not-Rented,Immediate,2000-01-01,Calgary,Bankview,51.0315177,-114.1019092,/ab/calgary/rentals/apartment/1-bedroom/bankview/45239,Apartment,900,1,500,1,0,0,,,0,0,1,1,1,1,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.0397217,-114.0776492,/ab/calgary/rentals/apartment/studio/beltline/482819,Apartment,850,studio,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.0399656,-114.0862675,/ab/calgary/rentals/apartment/1-bedroom/beltline/132833,Apartment,1000,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mount Royal,51.0329298,-114.094312,/ab/calgary/rentals/apartment/2-bedrooms/mount-royal/pet-friendly/128407,Apartment,995,2,+ / -  1000 sq feet,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Sunalta,51.0392888,-114.0960909,/ab/calgary/rentals/apartment/1-bedroom/sunalta/428352,Apartment,950,1,,1,0,0,,975,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Killarney,51.0242857,-114.140771,/ab/calgary/rentals/apartment/1-bedroom/killarney/pet-friendly/378126,Apartment,1000,1,650,1,2,0,,,0,0,1,1,1,0,1
Not-Rented,Immediate,2000-01-01,Calgary,Sunalta,51.0427933,-114.1022215,/ab/calgary/rentals/apartment/1-bedroom/sunalta/400117,Apartment,950,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mission,51.0336618,-114.0690593,/ab/calgary/rentals/apartment/1-bedroom/mission/291671,Apartment,975,1,475,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mission,51.0327199,-114.0706328,/ab/calgary/rentals/apartment/1-bedroom/mission/439597,Apartment,995,studio,520,1,0,0,,,0,0,1,0,1,0,1
Not-Rented,Immediate,2000-01-01,Calgary,Woodlands,50.9415759,-114.1107774,/ab/calgary/rentals/apartment/2-bedrooms/woodlands/pet-friendly/35902,Apartment,975,2,,1,2,2,,,0,0,0,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Kensington,51.0515029,-114.0892982,/ab/calgary/rentals/apartment/1-bedroom/kensington/3787,Apartment,995,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Albert Park,51.0382726,-113.9987898,/ab/calgary/rentals/apartment/1-bedroom/albert-park/pet-friendly/312039,Apartment,995,1,,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Sunalta,51.0434765,-114.1035317,/ab/calgary/rentals/apartment/1-bedroom/sunalta/21368,Apartment,890,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Mission,51.035457169999,-114.06937122345,/ab/calgary/rentals/apartment/studio/mission/40830,Apartment,825,studio,approx 350,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Altadore,51.021994,-114.109543,/ab/calgary/rentals/apartment/2-bedrooms/altadore/pet-friendly/290727,Apartment,975,2,1000,1,2,0,,,0,0,0,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bridgeland,51.0496683,-114.0336783,/ab/calgary/rentals/apartment/1-bedroom/bridgeland/457736,Apartment,900,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Kingsland,50.992612,-114.0743273,/ab/calgary/rentals/apartment/1-bedroom/kingsland/128048,Apartment,898,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.0368321,-114.0898775,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/481348,Apartment,900,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.0366961,-114.0744921,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/476249,Apartment,625,1,465,1,0,0,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.036361877286,-114.074414240198,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/58391,Apartment,800,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Brentwood,51.0854364,-114.1228333,/ab/calgary/rentals/apartment/1-bedroom/brentwood/405924,Apartment,850,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bankview,51.0367651,-114.105597,/ab/calgary/rentals/apartment/1-bedroom/bankview/pet-friendly/92006,Apartment,950,1,,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Downtown,51.0457187,-114.0805283,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/17394,Apartment,985,1,600-660,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Inglewood,51.040263,-114.032654,/ab/calgary/rentals/apartment/studio/inglewood/pet-friendly/403605,Apartment,950,studio,500,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Connaught,51.0394868,-114.0904517,/ab/calgary/rentals/apartment/1-bedroom/connaught/967,Apartment,985,1,550,1,0,0,,,0,0,1,0,1,0,1
Not-Rented,Immediate,2000-01-01,Calgary,Cliff Bungalow,51.0376143,-114.0727417,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/pet-friendly/87117,Apartment,925,1,650,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Crescent Heights,51.05433488015,-114.053906275024,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/139575,Apartment,995,1,800,1,0,0,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Brentwood,51.0930144,-114.1293589,/ab/calgary/rentals/apartment/1-bedroom/brentwood/479715,Apartment,950,1,,1,0,0,,,0,0,0,0,0,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Kingsland,50.9889005,-114.0748588,/ab/calgary/rentals/apartment/1-bedroom/kingsland/pet-friendly/96890,Apartment,895,1,,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Bankview,51.0330321,-114.0975033,/ab/calgary/rentals/apartment/1-bedroom/bankview/40932,Apartment,950,1,,1,0,0,,1000,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Deer Run,50.9322881,-114.0113261,/ab/calgary/rentals/apartment/1-bedroom/deer-run/pet-friendly/141307,Apartment,980,1,690,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Dalhousie,51.1030746,-114.150732,/ab/calgary/rentals/apartment/1-bedroom/dalhousie/147423,Apartment,1000,1,651,1,0,0,,,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Willow Park,50.962396,-114.058199,/ab/calgary/rentals/apartment/1-bedroom/willow-park/477696,Apartment,849,studio,300,1,0,0,650,999,1,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Kingsland,50.990369,-114.074715,/ab/calgary/rentals/apartment/1-bedroom/kingsland/452807,Apartment,900,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.039056,-114.090944,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/400705,Apartment,850,1,,1,2,0,,975,0,0,1,1,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Lower Mount Royal,51.036401700356,-114.09387588501,/ab/calgary/rentals/apartment/1-bedroom/lower-mount-royal/pet-friendly/22158,Apartment,800,studio,520,1,2,0,620,1000,1,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Capitol Hill,51.0703181,-114.0999278,/ab/calgary/rentals/apartment/1-bedroom/capitol-hill/pet-friendly/418853,Apartment,925,1,,1,2,0,,975,0,0,1,0,1,0,0
Not-Rented,Immediate,2000-01-01,Calgary,Beltline,51.04011,-114.0779808,/ab/calgary/rentals/apartment/1-bedroom/beltline/460855,Apartment,925,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Apr 15,2022-04-15,Calgary,Connaught,51.0397106,-114.0774382,/ab/calgary/rentals/apartment/1-bedroom/connaught/344283,Apartment,895,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,Apr 30,2022-04-30,Calgary,Collingwood,51.0833631,-114.0956958,/ab/calgary/rentals/apartment/1-bedroom/collingwood/473001,Apartment,940,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Beltline,51.0393198,-114.0777421,/ab/calgary/rentals/apartment/1-bedroom/beltline/481349,Apartment,875,1,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Connaught,51.038102,-114.076197,/ab/calgary/rentals/apartment/1-bedroom/connaught/pet-friendly/483811,Apartment,910,1,330,1,2,0,,,0,0,1,1,0,0,1
Not-Rented,May 01,2022-05-01,Calgary,Victoria Park,51.0391359,-114.0638302,/ab/calgary/rentals/apartment/1-bedroom/victoria-park/pet-friendly/460983,Apartment,900,1,500,1,2,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Downtown,51.0436825,-114.0650951,/ab/calgary/rentals/apartment/1-bedroom/downtown/pet-friendly/63434,Apartment,995,studio,425,1,2,0,695,,1,0,1,1,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Mission,51.0292343,-114.0649091,/ab/calgary/rentals/apartment/1-bedroom/mission/pet-friendly/453881,Apartment,989,studio,430,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Beltline,51.039594,-114.077181,/ab/calgary/rentals/apartment/1-bedroom/beltline/pet-friendly/297054,Apartment,825,studio,,1,2,2,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Bankview,51.0317966,-114.0974172,/ab/calgary/rentals/apartment/1-bedroom/bankview/74881,Apartment,850,1,500,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,South Calgary,51.0302755,-114.1092715,/ab/calgary/rentals/apartment/studio/south-calgary/92796,Apartment,800,studio,,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Renfrew,51.0590298,-114.0524545,/ab/calgary/rentals/apartment/1-bedroom/renfrew/15340,Apartment,690,1,,1,0,0,800,990,2,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Crescent Heights,51.0659097,-114.0601842,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/107938,Apartment,950,1,520,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Altadore,51.0168322,-114.1007796,/ab/calgary/rentals/apartment/1-bedroom/altadore/484203,Apartment,1000,1,500,1,0,0,,,0,0,1,1,1,0,1
Not-Rented,May 01,2022-05-01,Calgary,Mission,51.0367603,-114.0730631,/ab/calgary/rentals/apartment/1-bedroom/mission/91277,Apartment,995,1,500,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Crescent Heights,51.0541659,-114.0565049,/ab/calgary/rentals/apartment/1-bedroom/crescent-heights/9827,Apartment,895,1,650+,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Eau Claire,51.0495547,-114.0793639,/ab/calgary/rentals/apartment/1-bedroom/eau-claire/47563,Apartment,960,studio,500,1,0,0,,,0,0,1,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Bankview,51.0338193,-114.1037927,/ab/calgary/rentals/apartment/2-bedrooms/bankview/pet-friendly/327472,Apartment,995,2,798,1,2,2,,,0,0,0,0,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Cliff Bungalow,51.032271,-114.0745192,/ab/calgary/rentals/apartment/1-bedroom/cliff-bungalow/pet-friendly/484161,Apartment,950,1,600,1,2,0,,,0,0,1,1,1,0,0
Not-Rented,May 01,2022-05-01,Calgary,Bowness,51.08648,-114.18464,/ab/calgary/rentals/apartment/2-bedrooms/bowness/51961,Apartment,775,2,900,1,0,0,,,0,0,0,0,0,0,0
